,TC명,수행시간,요청 데이터,응답 데이터
0,004_VTC_authorize_TC1_필수파라미터누락,0.11397299999953248,"[2, '155d511b-3f98-4775-91b2-642fdea1704e', 'authorize', '{}']","[4, '155d511b-3f98-4775-91b2-642fdea1704e', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
1,004_VTC_authorize_TC2_필수파라미터null,0.09692240000003949,"[2, '0d791e65-96e4-45c7-827d-e8814ed28b61', 'authorize', '{    ""idTag"": """"}']","[4, '0d791e65-96e4-45c7-827d-e8814ed28b61', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
2,004_VTC_authorize_TC3_파라미터size,0.14702419999957783,"[2, '948ba99c-1e1c-4355-a412-d4e4eea6380c', 'authorize', '{    ""idTag"": ""10100101794563631111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '948ba99c-1e1c-4355-a412-d4e4eea6380c', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
3,004_VTC_authorize_TC4_특수문자,0.11156499999924563,"[2, '973a1770-2d76-4824-85a7-e17c84e31d5c', 'authorize', '{    ""idTag"": ""101001017945636#""}']","[4, '973a1770-2d76-4824-85a7-e17c84e31d5c', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
4,004_VTC_authorize_TC5_띄어쓰기,0.09760819999792147,"[2, '35b37a2c-258d-4464-9055-2c7b59392204', 'authorize', '{    ""idTag"": ""10100101 9456363""}']","[4, '35b37a2c-258d-4464-9055-2c7b59392204', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
5,004_VTC_authorize_TC6_파라미터type,0.10022419999950216,"[2, 'db0d757e-3b25-40ce-95bf-e434d503ce98', 'authorize', '{    ""idTag"": 1010010179456360}']","[4, 'db0d757e-3b25-40ce-95bf-e434d503ce98', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
6,001_VTC_bootNotification_TC1_띄어쓰기_파라미터size_띄어쓰기_띄어쓰기_띄어쓰기_파라미터type_띄어쓰기_파라미터size,0.13687560000107624,"[2, '2ac5c3a7-a8da-45f1-9763-e9432c565d64', 'bootNotification', '{    ""chargePointModel"":ELA007C01,    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""450061222#990181""}']","[4, '2ac5c3a7-a8da-45f1-9763-e9432c565d64', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
7,001_VTC_bootNotification_TC2_띄어쓰기_파라미터type_띄어쓰기_필수파라미터null_특수문자_필수파라미터누락_파라미터type_띄어쓰기,0.11146050000024843,"[2, '4e6f1974-fe78-4125-ba15-bb45baea490f', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": 450061222990181,    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, '4e6f1974-fe78-4125-ba15-bb45baea490f', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
8,001_VTC_bootNotification_TC3_띄어쓰기_파라미터type_특수문자_필수파라미터누락_띄어쓰기_필수파라미터누락_특수문자_특수문자,0.0946150999989186,"[2, 'd9611119-8872-45e5-b157-50aa791ed2cd', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""lmsi"": ""450061222#990181"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, 'd9611119-8872-45e5-b157-50aa791ed2cd', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
9,001_VTC_bootNotification_TC4_띄어쓰기_파라미터type_파라미터size_특수문자_필수파라미터누락_필수파라미터누락_파라미터type_필수파라미터누락,0.11697099999946658,"[2, '909ae5c1-13ee-4d01-8075-3ad12e575960', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""lmsi"": 450061222990181}']","[4, '909ae5c1-13ee-4d01-8075-3ad12e575960', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
