,TC명,수행시간,요청 데이터,응답 데이터
12,001_VTC_bootNotification_TC7_띄어쓰기_파라미터type_필수파라미터null_필수파라미터누락_특수문자_필수파라미터누락_파라미터size_파라미터type,0.10116219997871667,"[2, '9f42c450-891b-4d97-bc4b-6d5322b83e4c', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": """",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"":ASN_CSE-D-f288259452d-EVSP}']","[4, '9f42c450-891b-4d97-bc4b-6d5322b83e4c', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
13,001_VTC_bootNotification_TC8_띄어쓰기_파라미터type_필수파라미터누락_파라미터type_파라미터size_파라미터type_띄어쓰기_필수파라미터null,0.100705899996683,"[2, 'ed05b487-ac01-4ea5-930e-0c5a22d1ab1b', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""firmwareVersion"": 0.2.10,    ""Reason"":PowerUp,    ""rssi"": ""-4.2"",    ""lmsi"": ""450061222 990181"",    ""Entityid"": """"}']","[4, 'ed05b487-ac01-4ea5-930e-0c5a22d1ab1b', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
14,001_VTC_bootNotification_TC9_특수문자_파라미터size_특수문자_특수문자_특수문자_파라미터type_특수문자_필수파라미터null,0.09895010001491755,"[2, 'e8d0218e-e966-4a77-8830-f49cf690398b', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"": ""EVAR11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointSerialNumber"": ""EVSCA#0100584"",    ""firmwareVersion"": ""0.2#10"",    ""Reason"": ""Power#Up"",    ""rssi"": ""-4.2"",    ""lmsi"": ""450061222#990181"",    ""Entityid"": """"}']","[4, 'e8d0218e-e966-4a77-8830-f49cf690398b', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
15,001_VTC_bootNotification_TC10_특수문자_파라미터type_띄어쓰기_필수파라미터null_파라미터size_필수파라미터누락_파라미터size_특수문자,0.11967000004369766,"[2, '2d78f778-04b1-4c3f-93f0-94b1c341b116', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""firmwareVersion"": """",    ""Reason"": """",    ""lmsi"": ""45006122299018111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"": ""ASN_CSE-D-#f288259452d-EVSP""}']","[4, '2d78f778-04b1-4c3f-93f0-94b1c341b116', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
16,001_VTC_bootNotification_TC11_특수문자_파라미터type_파라미터size_필수파라미터누락_파라미터type_필수파라미터누락_띄어쓰기_파라미터type,0.09928880003280938,"[2, 'f9934895-66a9-45ac-a7d5-947a43e3a31c', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": ""450061222 990181"",    ""Entityid"":ASN_CSE-D-f288259452d-EVSP}']","[4, 'f9934895-66a9-45ac-a7d5-947a43e3a31c', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
17,001_VTC_bootNotification_TC12_특수문자_파라미터type_파라미터size_필수파라미터누락_필수파라미터null_필수파라미터누락_파라미터type_띄어쓰기,0.10396089998539537,"[2, '23f43743-06d2-49bc-8b73-d958197ed0de', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": ""EVSCA01005841111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""lmsi"": 450061222990181,    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, '23f43743-06d2-49bc-8b73-d958197ed0de', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
18,001_VTC_bootNotification_TC13_특수문자_파라미터type_파라미터type_파라미터type_필수파라미터누락_필수파라미터누락_띄어쓰기_필수파라미터누락,0.09720499999821186,"[2, '68afc8eb-45c1-4b54-b209-319ce1098f6f', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"":EVSCA0100584,    ""firmwareVersion"": 0.2.10,    ""Reason"":PowerUp,    ""lmsi"": ""450061222 990181""}']","[4, '68afc8eb-45c1-4b54-b209-319ce1098f6f', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
19,001_VTC_bootNotification_TC14_특수문자_파라미터type_필수파라미터null_파라미터size_띄어쓰기_필수파라미터누락_필수파라미터누락_파라미터size,0.12085189996287227,"[2, '21c3edf8-0c90-4c0b-960b-eb4b9390a5d6', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""chargePointSerialNumber"": """",    ""firmwareVersion"": ""0.2.101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Reason"": ""PowerUp11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""Entityid"": ""ASN_CSE-D-f288259452d-EVSP11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111""}']","[4, '21c3edf8-0c90-4c0b-960b-eb4b9390a5d6', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
20,001_VTC_bootNotification_TC15_특수문자_파라미터type_필수파라미터누락_띄어쓰기_특수문자_필수파라미터누락_필수파라미터null_띄어쓰기,0.09778700000606477,"[2, 'a184ec14-0546-4b7f-a39d-c89c38068d65', 'bootNotification', '{    ""chargePointModel"": ""ELA007C 01"",    ""chargePointVendor"":EVAR,    ""firmwareVersion"": ""0.2. 10"",    ""Reason"": ""Power Up"",    ""lmsi"": """",    ""Entityid"": ""ASN_CSE-D- f288259452d-EVSP""}']","[4, 'a184ec14-0546-4b7f-a39d-c89c38068d65', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
21,001_VTC_bootNotification_TC16_파라미터size_파라미터size_띄어쓰기_필수파라미터누락_파라미터type_파라미터type_필수파라미터null_필수파라미터null,0.08012099994812161,"[2, '026807cf-f909-4bc9-9b80-2e3b6ab0922d', 'bootNotification', '{    ""chargePointModel"": ""ELA007C011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointVendor"": ""EVAR11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111"",    ""chargePointSerialNumber"": ""EVSCA 0100584"",    ""rssi"": ""-4.2"",    ""lmsi"": """",    ""Entityid"": """"}']","[4, '026807cf-f909-4bc9-9b80-2e3b6ab0922d', {'errorCode': 'GenericError', 'ErrorDescription': 'Unknown Error, please check your request data'}]"
